Item Creation Full Month,Library Code,Normalized Call Number,Location Code,Full Call Number,Title,Author,ISBN,Barcode
Oct 17,THEO,"0b""505 d55 1977",STACK,B505 .D55 1977,The middle Platonists : 80 B.C. to A.D. 220 /,,9780801410833; 0801410835,300000471147
Oct 17,THEO,"0b""765 t54 c478 2017",STACK,B765 .T54 C478 2017,"Thomas and the Thomists : the achievement of Thomas Aquinas and his interpreters / Romanus Cessario, OP, and Cajetan Cuddy, OP.","Cessario, Romanus, author.",1506405959; 9781506405957,300000472177
Oct 17,THEO,"0b""775 c3 1963",STACK,B775 .C3 1963,Individuum und Kosmos in der Philosophie der Renaissance /,"Cassirer, Ernst, 1874-1945.",,300000471038
Oct 17,THEO,"0b""785 e64 a84 1991",STACK,B785 .E64 A84 1991,"Erasmus : his life, works and influence /","Augustijn, C., 1928-",0802058647; 9780802058645,300000471003
Oct 17,THEO,"0b""819 l466",STACK,B819 .L466,Existentialism: with or without God /,"Lescoe, Francis J.",9780818902857; 081890285X,300000472303
Oct 17,THEO,"0b""821 g44 1982",STACK,B821 .G44 1982,German humanism and reformation /,,9780826402615; 0826402615; 9780826402516; 0826402518,300000471035
Oct 17,THEO,0b#1299 s64 m53 2017,STACK,B1299 .S64 M53 2017,Reason turned into sense : John Smith on spiritual sensation /,"Michaud, Derek A., author.",9042934824; 9789042934825,300000472229
Oct 17,THEO,0b#1302 e65 r4 1996,STACK,B1302 .E65 R4 1996,"Reason, ridicule, and religion : the age of enlightenment in England, 1660-1750 /","Redwood, John.",0500278857; 9780500278857,300000461806
Oct 17,THEO,0b#2971 w45 e5,STACK,B2971 .W45 E5,The essence of faith according to Luther /,"Feuerbach, Ludwig, 1804-1872.",,300000471084
Oct 17,THEO,0b#4378 s4 e54 2017,STACK,B4378 .S4 E54 2017,Innerlichkeit : Struktur- und praxistheoretische Perspektiven auf Kierkegaards Existenzdenken /,"Engmann, Matthias, 1984- author.",3110526921; 9783110526929; 9783110532036; 3110532034; 9783110530612; 3110530619,300000458606
Oct 17,THEO,"0bd""241 p67 2011",STACK,BD241 .P67 2011,Hermeneutics : an introduction to interpretive theory /,"Porter, Stanley E., 1956-",9780802866578; 0802866573,300000471083
Oct 17,THEO,"0bd""512 t413 1961",STACK,BD512 .T413 1961,The phenomenon of man : with an introd. by Julian Huxley /,"Teilhard de Chardin, Pierre.",,9936508509102486
Oct 17,THEO,0bf#1582 m6 1976,STACK,BF1582 .M6 1976,Witchcraft in France and Switzerland : the borderlands during the Reformation /,"Monter, E. William.",9780801409639; 0801409632,300000471026
Oct 17,THEO,0bf#1762 w56 2017,STACK,BF1762 .W56 2017,Early Mesopotamian divination literature : its organizational framework and generative and paradigmatic characteristics /,"Winitzer, Abraham, author.",9004346996; 9789004346994; 9789004347007; 9004347003,300000472235
Oct 17,THEO,0bj#1251 g86,STACK,BJ1251 .G86,Can ethics be Christian? /,"Gustafson, James M.",9780226311036; 0226311031,300000471069
Oct 17,THEO,0bj#1251 s8132 2016,STACK,BJ1251 .S8132 2016,Kingdom ethics : following Jesus in contemporary context /,"Gushee, David P., 1962- author.",0802874215; 9780802874214; 9780802876119; 0802876110,300000472256
Oct 17,THEO,0bl!50 s58 1982,STACK,BL50 .S58 1982,Religious diversity /,"Smith, Wilfred Cantwell, 1916-2000.",0824504585; 9780824504588,300000471098
Oct 17,THEO,0bl!85 a44 1991,STACK,BL85 .A44 1991,After patriarchy : feminist transformations of the world religions /,,9780883447499; 0883447495; 9780883447482; 0883447487,300000471018
Oct 17,THEO,"0bl""240.3 h37 2017",STACK,BL240.3 .H37 2017,Echoes of coinherence : Trinitarian theology and science together /,"Hastings, W. Ross, author.",1498240801; 9781498240802; 1532616848; 9781532616846,300000472216
Oct 17,THEO,"0bl""240.3 m439 2017",STACK,BL240.3 .M439 2017,Enriching our vision of reality : theology and the natural sciences in dialogue /,"McGrath, Alister E., 1953- author.",1599475340; 9781599475349; 9781599475356; 1599475359,300000472282
Oct 17,THEO,"0bl""458 c47 1980",STACK,BL458 .C47 1980,Diving deep and surfacing : women writers on spiritual quest /,"Christ, Carol P.",0807063622; 9780807063620,300000461801
Oct 17,THEO,"0bl""570 w43 2017",STACK,BL570 .W43 2017,"Sacrifice in Judaism, Christianity, and Islam /","Weddle, David L. 1942- author. (David Leroy),",0814764916; 9780814764916; 0814789315; 9780814789315,300000472295
Oct 17,THEO,0bl#2462.5 a83 2017,STACK,BL2462.5 .A83 2017,"Channels of prayer, prophecy and power : contemporary religion, new media and transformation of public sphere in Africa /","Asamoah-Gyadu, J. Kwabena author. (Johnson Kwabena),",9964950861; 9789964950866,300000461843
Oct 17,THEO,0bl#2490 g44 2016,STACK,BL2490 .G44 2016,Un culte du Vodu Hebiesso : approche d'une religion africaine chez le Ouatchi du Sud-Togo /,"Gilli, Bruno.",2906718440; 9782906718449,300000461852
Oct 17,THEO,0bl#2525 b87 2017,STACK,BL2525 .B87 2017,The business turn in American religious history /,,9780190280208; 0190280204; 9780190280192; 0190280190,300000472326
Oct 17,THEO,0bl#2525 c444 2017,STACK,BL2525 .C444 2017,American religion : contemporary trends /,"Chaves, Mark, author.",9780691177564; 0691177562,300000472195
Oct 17,THEO,0bl#2525 h57 2009,STACK,BL2525 .H57 2009 V. 1,Hispanic American religious cultures /,,1598841408; 9781598841404; 1598841394; 9781598841398,300000472222
Oct 17,THEO,0bl#2525 h57 2009,STACK,BL2525 .H57 2009 V. 2,Hispanic American religious cultures /,,1598841408; 9781598841404; 1598841394; 9781598841398,300000472223
Oct 17,THEO,0bl#2525 s76 2004,STACK,BL2525 .S76 2004,Democracy and tradition /,"Stout, Jeffrey, author.",0691102937; 9780691102931; 0691123829; 9780691123820,300000297808
Oct 17,THEO,0bl#2525 w4145 2017,STACK,BL2525 .W4145 2017,Religious freedom : the contested history of an American ideal /,"Wenger, Tisa Joy, 1969- author.",1469634627; 9781469634623; 9781469634630; 1469634635,300000472266
Oct 17,THEO,"0bm""485 d56 2017",STACK,BM485 .D56 2017,From Enoch to Tobit : collected studies in ancient Jewish literature /,"Dimant, Devorah, author.",3161542886; 9783161542886,300000472200
Oct 17,THEO,"0bm""535 p39 1973",STACK,BM535 .P39 1973,The challenge of the Holocaust for Christian theology /,"Pawlikowski, John.",0884740329; 9780884740322; 0884740323,300000471053
Oct 17,THEO,"0bm""610 k79 2017",STACK,BM610 .K79 2017,The great shift : encountering God in biblical times /,"Kugel, James L., author.",0544520556; 9780544520554; 9780544520578; 0544520572,300000472269
Oct 17,THEO,"0bm""645 a645 o75 2017",STACK,BM645 .A645 O75 2017,Yahoel and Metatron : aural apocalypticism and the origins of early Jewish mysticism /,"Orlov, Andrei A., 1960- author.",3161554477; 9783161554476,300000472201
Oct 17,THEO,0bp!64 n5 a9 1958,STACK,BP64 .N5 A9 1958,Azumin watan ramalana /,"Yamusa, Shehu.",,300000462446
Oct 17,THEO,"0bp""190.5 v56 r45 2017",STACK,BP190.5 .V56 R45 2017,Religion and violence : Muslim and Christian theological and pedagogical reflections /,,3658183012; 9783658183011,300000472238
Oct 17,THEO,0br!60 c49 v 90b 0,STACK,BR60 .C49 V.90B,Vigilii Thapsensis Contra Arrianos Sabellianos Fotinianos dialogus /,"Vigilius, Bishop of Thapsus, active 5th century, author.",2503565808; 9782503565804,300000462539
Oct 17,THEO,0br!65 a849 a1 1936,STACK,BR65 .A849 A1 1936 V.59A,Les commentaires des psaumes = enarrationes in psalmos /,"Augustine, of Hippo, Saint, 354-430.",9782851212399; 2851212397; 9782851212535; 2851212532; 9782851212894; 2851212893; 9782851212603; 2851212605; 9782851212801; 285121280X; 9782851212849; 2851212842; 2851212389; 9782851212382,300000462540
Oct 17,THEO,0br!65 a9 g36 2017,STACK,BR65 .A9 G36 2017,Freedom from passions in Augustine /,"Gao, Yuan, author.",9781787076730; 1787076733,300000472192
Oct 17,THEO,0br!65 c66 b73 1986,STACK,BR65 .C66 B73 1986,An analysis of the literary structure and forms in the Protrepticus and Paidagogus of Clement of Alexandria /,"Brackett, John K.",,300000458612
Oct 17,THEO,0br!85 r58,STACK,BR85 .R58,Three essays. /,"Ritschl, Albrecht, 1822-1889.",9780800602246; 0800602242,300000471088
Oct 17,THEO,0br!95 h34 1959,STACK,BR95 .H34 1959,Theologisches Fremdwörterbuch.,"Hauck, Friedrich, 1882-1954.",,300000471046300000471046
Oct 17,THEO,"0br""100 c525 1993",STACK,BR100 .C525 1993,"Christian faith and Greek philosophy in late antiquity : essays in tribute to George Christopher Stead ... in celebration of his eightieth birthday, 9th April 1993 /",,9789004096059; 9004096051,000015238589
Oct 17,THEO,"0br""100 r34",STACK,BR100 .R34,Christian empiricism /,"Ramsey, Ian T.",0802815588; 9780802815583,300000471176
Oct 17,THEO,"0br""110 s27 1975",STACK,BR110 .S27 1975,"Faith, psychology & Christian maturity /","Sall, Millard J.",0310324319; 9780310324317,300000471135
Oct 17,THEO,"0br""115 c8 f635 1996",STACK,BR115 .C8 F635 1996,We are the church together : cultural diversity in congregational life /,"Foster, Charles R., 1937-",9781563381690; 1563381699,300000471070
Oct 17,THEO,"0br""115 c8 p756 2017",STACK,BR115 .C8 P756 2017,Contextualization of the gospel : towards an evangelical approach in the light of scripture and the church fathers /,"Prince, Andrew James.",9781498245296; 1498245293; 1532619154; 9781532619151,300000472214
Oct 17,THEO,"0br""115 c8 p756 2017",STACK,,,,,300000472215
Oct 17,THEO,"0br""115 l25 d46 2017",STACK,BR115 .L25 D46 2017,Ideas on language in early Latin Christianity from Tertullian to Isidore of Seville /,"Denecker, Tim, author.",9004349871; 9789004349872; 9789004276659; 9004276653,300000472329
Oct 17,THEO,"0br""115 w6 m644 2017",STACK,BR115 .W6 M644 2017,Reclaiming the common good : how Christians can help rebuild our broken world /,"Moffat, Virginia, author.",9780232533156; 0232533156,300000472294
Oct 17,THEO,"0br""121.3 p76 2017",STACK,BR121.3 .P76 2017,The Protestant Reformation and world Christianity : global perspectives /,,0802873049; 9780802873040,300000472246
Oct 17,THEO,"0br""128 a2 b8 1954",STACK,BR128 .A2 B8 1954,Das Urchristentum im Rahmen der antiken Religionen /,"Bultmann, Rudolf, 1884-1976.",,300000471170
Oct 17,THEO,"0br""128 a2 r4",STACK,BR128.A2 R4,Antike und Christentum : vier religionsgeschichtliche Aufsätze.,"Reitzenstein, Richard, 1861-1931.",,300000472316
Oct 17,THEO,"0br""128 a8 a76 2016",STACK,BR128 .A8 A76 2016,"Atheism and the Christian faith : proceedings from the 2016 conference Atheism and the Christian Faith, Canadian Centre for Scholarship and the Christian Faith at Concordia University of Edmonton, Alberta, Canada /","Atheism and the Christian Faith (Conference) Concordia University of Edmonton, Alberta, Canada) (2016 :",9781622731732; 1622731735,300000472231
Oct 17,THEO,"0br""129 f56 1987",STACK,BR129 .F56 1987,In memory of her : a feminist theological reconstruction of Christian origins /,"Schüssler Fiorenza, Elisabeth, 1938-",0824506677; 9780824506674,300000461781
Oct 17,THEO,"0br""138 t498 2017",STACK,BR138 .T498 2017,"Texts, practices, and groups : multidisciplinary approaches to the history of Jesus followers in the first two centuries : first annual meeting of Bertinoro (2-5 October 2014) /",,2503569013; 9782503569017,300000472285
Oct 17,THEO,"0br""162.3 i58 2017",STACK,BR162.3 .I58 2017,Into all the world : emergent Christianity in its Jewish and Greco-Roman context /,,0802875157; 9780802875150,300000472251
Oct 17,THEO,"0br""166 j465 2017",STACK,BR166 .J465 2017,Crucible of faith : the ancient revolution that made our modern religious world /,"Jenkins, Philip, 1952- author.",0465096409; 9780465096404; 9780465096411; 0465096417,300000472265
Oct 17,THEO,"0br""166 u73 2017",STACK,BR166 .U73 2017,The urban world and the first Christians /,,0802874517; 9780802874511,300000472258
Oct 17,THEO,"0br""182 c66 2017",STACK,BR182 .C66 2017,"Assembling early Christianity : trade, networks, and the letters of Dionysios of Corinth /","Concannon, Cavan W., 1979- author.",1107194296; 9781107194298,300000472327
Oct 17,THEO,"0br""195 c45 u53 2018",STACK,BR195 .C45 U53 2018,Borderline virginities : sacred and secular virgins in late antiquity /,"Undheim, Sissel, author.",1472480171; 9781472480170; 9781315569734; 1315569736,300000472206
Oct 17,THEO,"0br""195 f35 d48 2017",STACK,BR195 .F35 D48 2017,Neues Leben in der alten Welt : der Beitrag frühchristlicher Schriften des späten ersten Jahrhunderts zum Diskurs über familiäre Strukturen in der griechisch-römischen Welt /,"Dettinger, Dorothee, 1983- author.",3374052215; 9783374052219,300000458648
Oct 17,THEO,"0br""195 w6 r9 1970",STACK,BR195 .W6 R9 1970,The role of women in the church /,"Ryrie, Charles Caldwell, 1925-2016.",9780802473707; 0802473709; 9780802473714; 0802473717,300000471015
Oct 17,THEO,"0br""305.2 d53 1979",STACK,BR305.2 .D53 1979,Reformation and society in sixteenth-century Europe /,"Dickens, A. G. 1910-2001. (Arthur Geoffrey),",,300000461765
Oct 17,THEO,"0br""305.2 h28 1694",STACK,BR305.2 .H28 1694,The age of Reformation.,"Harbison, E. Harris 1907-1964. (Elmore Harris),",,300000461767
Oct 17,THEO,"0br""305.3 g74 2017",STACK,BR305.3 .G74 2017,"Rebel in the ranks : Martin Luther, the Reformation, and the conflicts that continue to shape our world /","Gregory, Brad S. 1963- author. (Brad Stephan),",0062471171; 9780062471178; 9780062471208; 0062471201,300000472273
Oct 17,THEO,"0br""307 r445 2017",STACK,BR307 .R445 2017,Reformation : Impulsgeber für die Moderne? /,,3374052398; 9783374052394,300000458654
Oct 17,THEO,"0br""307 w48 2017",STACK,BR307 .W48 2017,The Reformation 500 years later : 12 things you need to know /,"Wiker, Benjamin, 1960- author.",1621576701; 9781621576709,300000472280
Oct 17,THEO,"0br""309 l84",STACK,BR309 .L84,"Luther, Erasmus, and the Reformation : a Catholic-Protestant reappraisal. /",,9780823208302; 0823208303,300000471067
Oct 17,THEO,"0br""325 h28 2017",STACK,BR325 .H28 2017,A world ablaze : the rise of Martin Luther and the birth of the Reformation /,"Harline, Craig, author.",0190275189; 9780190275181,300000472272
Oct 17,THEO,"0br""325 n54 2017",STACK,BR325 .N54 2017,Martin Luther : eine Reise zum Ursprung der Reformation /,"Niedermeier, Richard, 1956- author.",3945401267; 9783945401262,300000458618
Oct 17,THEO,"0br""325 r524 2017",STACK,BR325 .R524 2017,The making of Martin Luther /,"Rex, Richard, author.",0691155151; 9780691155159,300000472323
Oct 17,THEO,"0br""326.5 k53 2017",STACK,BR326.5 .K53 2017,"1521 : Martin Luthers rhetorischer Moment, oder, Die Einführung des Protests /","Knape, Joachim, author.",3110545497; 9783110545494; 9783110546927; 3110546922; 9783110545586; 3110545586,300000458658
Oct 17,THEO,"0br""333.5 j4 h375 2017",STACK,BR333.5 .J4 H375 2017,Luther and the Jews : putting right the lies /,"Harvey, Richard S.",1532619014; 9781532619014; 1498245013; 9781498245012,300000472210
Oct 17,THEO,"0br""334.3 t496 2017",STACK,BR334.3 .T496 2017,Martin Luther : Katholik und Reformator /,"Thönissen, Wolfgang, author.",3897107015; 9783897107014; 3374049591; 9783374049592,300000458616
Oct 17,THEO,"0br""335.5 c4 m37 2017",STACK,BR335.5 .C4 M37 2017,Martin Luther on reading the bible as Christian scripture: the messiah in Luther's biblical hermeneutic and theology /,"Marsh, William M.",9781498288224; 1498288227; 9781606080009; 1606080008,300000472188
Oct 17,THEO,"0br""345 c68 1966",STACK,BR345 .C68 1966,Zwingli : als reformierter Theologe /,"Courvoisier, Jaques.",,300000461825
Oct 17,THEO,"0br""345 n484 2017",STACK,BR345 .N484 2017,Ulrich Zwinglis Ethik : Stationen - Grundlagen - Konkretionen / Matthias Neugebauer.,"Neugebauer, Matthias, 1969- author.",3290178927; 9783290178925,300000458660
Oct 17,THEO,"0br""350 e5 h8 1964",STACK,BR350 .E5 H8 1964,On the eve of the Reformation : letters of obscure men /,,,300000471005
Oct 17,THEO,"0br""350 e7 p3 1956",STACK,BR350 .E7 P3 1956,Erasmus als Katechet. : Der literarische Beitrag des Erasmus von Rotterdam zur katholischen Katechese des 16. Jahrhunderts; eine Untersuchung zur Geschichte der Katechese.,"Padberg, Rudolf.",,300000461766
Oct 17,THEO,"0br""350 e7 p5 1961",STACK,BR350 .E7 P5 1961,Erasmus and the Northern Renaissance.,"Phillips, Margaret Mann.",,300000471004
Oct 17,THEO,"0br""370 m83 2017",STACK,BR370 .M83 2017,Reformation und alter Glaube : Zugehörigkeiten der Altgläubigen im Alten Reich und in Frankreich (1517-1540) /,"Mudrak, Marc, 1987- author.",3110489627; 9783110489620; 9783110489781; 3110489783,300000458656
Oct 17,THEO,"0br""430 j3 1951",STACK,BR430 .J3 1951,The Catholic Reformation.,"Janelle, Pierre.",,300000461800
Oct 17,THEO,"0br""516 f28 2017",STACK,BR516 .F28 2017,Faith and resistance in the age of Trump /,,1626982473; 9781626982475; 9781608337125; 160833712X,300000472178
Oct 17,THEO,"0br""526 m675 2017",STACK,BR526 .M675 2017,Bible nation : the United States of Hobby Lobby /,"Moss, Candida R., author.",069117735X; 9780691177359,300000472268
Oct 17,THEO,"0br""754 a1 r44 2017",STACK,BR754 .A1 R44 2017,"Celtic saints of Scotland, Northumbria and the Isle of Man /","Rees, Elizabeth, author.",9781781556016; 1781556016,300000472325
Oct 17,THEO,"0br""758 r383 2017",STACK,BR758 .R383 2017,Religion in Enlightenment England : an anthology of primary sources /,,1602583005; 9781602583009,300000472179
Oct 17,THEO,"0br""852 t457 2017",STACK,BR852 .T457 2017 V.1,Geschichte der evangelischen Kirche in Frankfurt am Main /,"Telschow, Jürgen.",3863143299; 9783863143299,300000458657
Oct 17,THEO,"0br""936 d26 2017",STACK,BR936 .D26 2017,The dangerous God : Christianity and the Soviet experiment /,,0875807704; 9780875807706; 9781609092283; 1609092287,300000472287
Oct 17,THEO,0br#1067 c4 h3 1965,STACK,BR1067 .C4 H3 1965,Chinese of the diaspora /,"Haines, J. Harry (Joseph Harry)",,000015000721
Oct 17,THEO,0br#1155 b8 1927,STACK,BR1155 .B8 1927,"""Our Asiatic Christ"" /","Buck, Oscar MacMillan, 1885-1941.",,000015184890
Oct 17,THEO,0br#1360 k93 2000,STACK,BR1360 .K93 2000,Prayer for Africa /,"Kwame, Odei, Reverend, author.",,300000461842
Oct 17,THEO,0br#1360 r5414 1986,STACK,BR1360 .R5414 1986,Tâche théologique de l'Eglise en Afrique /,"Tienou, Tite.",,000015114068
Oct 17,THEO,0br#1446.8 l83 u34 2015,STACK,BR1446.8 .L83 U34 2015,Christianity in the Luangwa Valley /,"Udelhoven, Bernhard.",1515383512; 9781515383512,300000461850
Oct 17,THEO,0br#1460 l474 2008,STACK,BR1460 .L474 2008,The Church in West Africa /,"Lere, Pauline Mark.",9789783564381; 9783564382,300000471022
Oct 17,THEO,0br#1463 g5 b62 2017,STACK,BR1463 .G5 B62 2017,"Upholding the Evangelical truth : the story of Korle-Bu Community Chapel, 1967-2013 /","Boadi-Siaw, Samuel.",9988863012; 9789988863012,300000461844
Oct 17,THEO,0br#1463 n5 g87 2017,STACK,BR1463 .N5 .G87 2017,COCIN birth and growth /,"Gutip, Nanwul, author.",9789585691; 9789789585694,300000471037
Oct 17,THEO,0br#1463 n5 m6 2014,STACK,BR1463 .N5 M6 2014,African-culture Christianity : incluturation of the Church in Africa via Igbo culture /,"Mmuo, Patrick Mary Anene, author.",9783733208,300000471059
Oct 17,THEO,0br#1463 n5 o4 2015,STACK,BR1463 .N5 O4 2015,Ecumenism and inter-religious dialogue /,"Ojebode, P. A., author.",9789783106409,300000471082
Oct 17,THEO,0br#1644.5 a35 a83 2010,STACK,BR1644.5 .A35 A83 2010,"'Taking territories & raising champions' : contemporary Pentecostalism and the changing face of Christianity in Africa, 1980-2010 : /","Asamoah-Gyadu, J. Kwabena author. (Johnson Kwabena),",9964784392; 9789964784393,300000461837
Oct 17,THEO,0br#1644.5 g4 t46 2010,STACK,BR1644.5 .G4 T46 2010,A historical glimpse of the Holy Spirit revival of the church from 1900 to date /,"Tenobi, David T.",9988120524; 9789988120528,300000461833
Oct 17,THEO,0br#1650.2 p58,STACK,BR1650.2 .P58 2017,Pietismus und Neuzeit.,,,300000458650
Oct 17,THEO,0br#1720 a9 a3 1954,STACK,BR1720 .A9 A3 1954,Die geistige Entwicklung des Heiligen Augustinus.,"Adam, Karl, 1876-1966.",,300000471152
Oct 17,THEO,0br#1725 d594 a3 2017,STACK,BR1725 .D594 A3 2017,"Bitten by a camel : leaving church, finding God /","Dobson, Kent, author.",1506417744; 9781506417745,300000472233
Oct 17,THEO,"0bs""191.5 a1 2005 c65",OSIZE,BS191.5 .A1 2005 .C65 V.4,The Saint John's Bible /,,9780814690581; 0814690580; 9780814690529; 0814690521; 9780814690536; 081469053X; 9780814690543; 0814690548; 9780814690550; 0814690556; 9780814690567; 0814690564; 9780814690512; 0814690513; 9780814690574; 0814690572,300000461809
Oct 17,THEO,"0bs""449 p68 2017",STACK,BS449 .P68 2017,"Postcoloniality, translation, and the Bible in Africa /",,1498295142; 9781498295147; 1498295169; 9781498295161,300000472217
Oct 17,THEO,"0bs""450 a763 2007",STACK,BS450 .A763 2007,The Bible : a biography /,"Armstrong, Karen, 1944-",9780871139696; 0871139693,300000461782
Oct 17,THEO,"0bs""480 k65 1962",STACK,BS480 .K65 1962,Bibelautorität und Bibelkritik /,"Knierim, Rolf.",,300000461754
Oct 17,THEO,"0bs""500 h575 2003",STACK,BS500 .H575 2003 V.3,A history of biblical interpretation /,,9780802842732; 0802842739,300000472237
Oct 17,THEO,"0bs""511.3 l45 2009",STACK,BS511.3 .L45 2009,Deep exegesis : the mystery of reading Scripture /,"Leithart, Peter J.",9781602580695; 1602580693,300000471093
Oct 17,THEO,"0bs""538.3 p69 2001",STACK,BS538.3 .P69 2001,The Word of the Lord : liturgy's use of scripture /,"Power, David Noel.",9781570753978; 1570753970,300000471054
Oct 17,THEO,"0bs""680 f6 r98 2017",STACK,BS680 .F6 R98 2017,Manna - bread from heaven : Jn 6:22-59 in the light of Ps 78:23-25 and its interpretation in early Jewish sources /,"Rytel-Andrianik, Paweł, author.",3631653611; 9783631653616,300000472288
Oct 17,THEO,"0bs""680 w7 b8",STACK,BS680 .W7 B8,God's word to women : one hundred Bible studies on woman's place in the divine economy /,"Bushnell, Katharine C.",,300000471016
Oct 17,THEO,0bs#1151 k4,STACK,BS1151 .K4 V.4,Israel's laws and legal precedents : from the days of Moses to the closing of the legal canon /,,1332721052; 9781332721054,300000471065
